"id","adr_province_id","code","name_kh","name_en","type","reference","created_at","updated_at","deleted_at"
"1","1","102","មង្គលបូរី","Mongkol Borei","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"2","1","103","ភ្នំស្រុក","Phnum Srok","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"3","1","104","ព្រះនេត្រព្រះ","Preah Netr Preah","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"4","1","105","អូរជ្រៅ","Ou Chrov","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"5","1","106","សិរីសោភ័ណ","Serei Saophoan","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"6","1","107","ថ្មពួក","Thma Puok","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"7","1","108","ស្វាយចេក","Svay Chek","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"8","1","109","ម៉ាឡៃ","Malai","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"9","1","110","ប៉ោយប៉ែត","Paoy Paet","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"10","2","201","បាណន់","Banan","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"11","2","202","ថ្មគោល","Thma Koul","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"12","2","203","បាត់ដំបង","Battambang","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"13","2","204","បវេល","Bavel","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"14","2","205","ឯកភ្នំ","Aek Phnum","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"15","2","206","មោងឫស្សី","Moung Ruessei","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"16","2","207","រតនមណ្ឌល","Rotonak Mondol","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"17","2","208","សង្កែ","Sangkae","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"18","2","209","សំឡូត","Samlout","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"19","2","210","សំពៅលូន","Sampov Lun","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"20","2","211","ភ្នំព្រឹក","Phnum Proek","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"21","2","212","កំរៀង","Kamrieng","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"22","2","213","គាស់ក្រឡ","Koas Krala","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"23","2","214","រុក្ខគិរី","Rukh Kiri","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"24","3","301","បាធាយ","Batheay","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"25","3","302","ចំការលើ","Chamkar Leu","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"26","3","303","ជើងព្រៃ","Cheung Prey","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"27","3","305","កំពង់ចាម","Kampong Cham","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"28","3","306","កំពង់សៀម","Kampong Siem","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"29","3","307","កងមាស","Kang Meas","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"30","3","308","កោះសូទិន","Kaoh Soutin","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"31","3","313","ព្រៃឈរ","Prey Chhor","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"32","3","314","ស្រីសន្ធរ","Srei Santhor","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"33","3","315","ស្ទឹងត្រង់","Stueng Trang","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"34","4","401","បរិបូណ៌","Baribour","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"35","4","402","ជលគីរី","Chol Kiri","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"36","4","403","កំពង់ឆ្នាំង","Kampong Chhnang","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"37","4","404","កំពង់លែង","Kampong Leaeng","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"38","4","405","កំពង់ត្រឡាច","Kampong Tralach","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"39","4","406","រលាប្អៀរ","Rolea B'ier","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"40","4","407","សាមគ្គីមានជ័យ","Sameakki Mean Chey","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"41","4","408","ទឹកផុស","Tuek Phos","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"42","5","501","បរសេដ្ឋ","Basedth","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"43","5","502","ច្បារមន","Chbar Mon","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"44","5","503","គងពិសី","Kong Pisei","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"45","5","504","ឱរ៉ាល់","Aoral","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"46","5","505","ឧដុង្គ","Odongk","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"47","5","506","ភ្នំស្រួច","Phnum Sruoch","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"48","5","507","សំរោងទង","Samraong Tong","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"49","5","508","ថ្ពង","Thpong","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"50","6","601","បារាយណ៍","Baray","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"51","6","602","កំពង់ស្វាយ","Kampong Svay","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"52","6","603","ស្ទឹងសែន","Stueng Saen","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"53","6","604","ប្រាសាទបល្ល័ង្គ","Prasat Ballangk","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"54","6","605","ប្រាសាទសំបូរ","Prasat Sambour","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"55","6","606","សណ្ដាន់","Sandan","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"56","6","607","សន្ទុក","Santuk","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"57","6","608","ស្ទោង","Stoung","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"58","6","609","តាំងគោក","Taing Kouk","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"59","7","701","អង្គរជ័យ","Angkor Chey","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"60","7","702","បន្ទាយមាស","Banteay Meas","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"61","7","703","ឈូក","Chhuk","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"62","7","704","ជុំគិរី","Chum Kiri","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"63","7","705","ដងទង់","Dang Tong","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"64","7","706","កំពង់ត្រាច","Kampong Trach","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"65","7","707","ទឹកឈូ","Tuek Chhou","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"66","7","708","កំពត","Kampot","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"67","8","801","កណ្ដាលស្ទឹង","Kandal Stueng","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"68","8","802","កៀនស្វាយ","Kien Svay","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"69","8","803","ខ្សាច់កណ្ដាល","Khsach Kandal","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"70","8","804","កោះធំ","Kaoh Thum","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"71","8","805","លើកដែក","Leuk Daek","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"72","8","806","ល្វាឯម","Lvea Aem","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"73","8","807","មុខកំពូល","Mukh Kampul","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"74","8","808","អង្គស្នួល","Angk Snuol","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"75","8","809","ពញាឮ","Ponhea Lueu","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"76","8","810","ស្អាង","S'ang","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"77","8","811","តាខ្មៅ","Ta Khmau","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"78","9","901","បុទុមសាគរ","Botum Sakor","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"79","9","902","គិរីសាគរ","Kiri Sakor","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"80","9","903","កោះកុង","Kaoh Kong","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"81","9","904","ខេមរភូមិន្ទ","Khemara Phoumin","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"82","9","905","មណ្ឌលសីមា","Mondol Seima","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"83","9","906","ស្រែ អំបិល","Srae Ambel","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"84","9","907","ថ្មបាំង","Thma Bang","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"85","10","1001","ឆ្លូង","Chhloung","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"86","10","1002","ក្រចេះ","Kracheh","Municipality","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"87","10","1003","ព្រែកប្រសព្វ","Prek Prasab","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"88","10","1004","សំបូរ","Sambour","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"89","10","1005","ស្នួល","Snuol","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"90","10","1006","ចិត្របុរី","Chetr Borei","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
"91","11","1101","កែវសីមា","Kaev Seima","District","","2024-02-20 16:34:12","2024-02-20 16:34:12",""
