"id","name","product_id","farmer_outlet_id","product_name","image_path","description","product_quality_id","product_quality_name","created_by","created_at","updated_at"
"1","ស្រូវអង្ករបាយរឹង","4","2","ស្រូវអង្ករបាយរឹង","config/image/product/rubber.png","","","","ឡឹម ម៉េងលី","2024-04-24 10:42:50","2024-04-24 10:42:50"
"2","ស្រូវផ្កាខ្ញី","3","2","ស្រូវផ្កាខ្ញី","config/image/product/sugar_cane.png","","","","ឡឹម ម៉េងលី","2024-04-24 10:58:03","2024-04-24 10:58:03"
"3","ស្រូវផ្កាខ្ញី","3","2","ស្រូវផ្កាខ្ញី","config/image/product/sugar_cane.png","","","","ឡឹម ម៉េងលី","2024-04-24 10:58:53","2024-04-24 10:58:53"
"4","ស្រូវដំណើប","5","2","ស្រូវដំណើប","setup/product/2024/02/21/65d5b55e89ed1-1708504414.png","","","","ឡឹម ម៉េងលី","2024-04-24 11:06:37","2024-04-24 11:06:37"
"5","ស្រូវផ្ការំដួល","1","1","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 01","2024-04-24 13:06:13","2024-04-24 13:06:13"
"6","ស្រូវផ្ការំដួល","1","3","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 01","2024-04-24 13:08:56","2024-04-24 13:08:56"
"7","ស្រូវផ្ការំដួល","1","4","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 01","2024-04-24 13:10:31","2024-04-24 13:10:31"
"8","ស្រូវផ្ការំដួល","1","5","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 01","2024-04-24 13:11:43","2024-04-24 13:11:43"
"9","ស្រូវផ្ការំដួល","1","6","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 01","2024-04-24 13:13:58","2024-04-24 13:13:58"
"10","ស្រូវផ្ការំដួល","1","7","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","Report 02","2024-04-24 13:17:18","2024-04-24 13:17:18"
