"id","title","description","is_enable","created_at","updated_at","symbol"
"1","គីឡូ.","គីឡូក្រាម (kg)",0,"2024-04-23 22:33:05","2024-04-23 23:30:36",""
"2","ខាំ.","ខាំ (100g)",0,"2024-04-23 22:33:05","2024-04-23 23:29:42",""
"3","តៅ.","តៅ (4 កន្តាំង)",0,"2024-04-23 22:33:05","2024-04-23 23:29:37",""
"4","បេ.","បេ (បាវ)",0,"2024-04-23 22:33:05","2024-04-23 23:29:34",""
"5","តោន.","តោន (ton)",0,"2024-04-23 22:33:05","2024-04-23 23:29:30",""
"6","ឡូ.","ឡូ (12)",0,"2024-04-23 22:33:05","2024-04-23 23:29:26",""
"7","ដប.","ដប (គ្រឿងកំប៉ុង)",0,"2024-04-23 22:33:05","2024-04-23 23:29:22",""
"8","លីត្រ.","លីត្រ (L)",0,"2024-04-23 22:33:05","2024-04-23 23:29:18",""
"9","ស៊ី.","ស៊ី (0.25L)",0,"2024-04-23 22:33:05","2024-04-23 23:29:14",""
"10","ផ្សេងៗ","ផ្សេងៗ",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"11","ដប","ដប",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"12","កំប៉ុង","កំប៉ុង",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"13","ដើម (1ដើម)","ដើម (1ដើម)",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"14","គ្រាប់ (1គ្រាប់)","គ្រាប់ (1គ្រាប់)",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"15","លីត្រ","លីត្រ",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"16","កាដុង","កាដុង",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"17","កេស","កេស",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"18","កញ្ចប់","កញ្ចប់",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"19","ការ៉ុង","ការ៉ុង",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"20","តោន (1000kg)","តោន (1000kg)",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
"21","គីឡូ","គីឡូ",1,"2024-04-23 22:33:05","2024-04-23 22:33:05",""
